| end of split   1 /100 | epoch   1 | time: 1007.52s | valid loss  1.62 | valid ppl     5.05 | learning rate 20.00
| end of split   2 /100 | epoch   1 | time: 1001.73s | valid loss  1.45 | valid ppl     4.25 | learning rate 20.00
| end of split   3 /100 | epoch   1 | time: 988.77s | valid loss  1.39 | valid ppl     4.02 | learning rate 20.00
| end of split   4 /100 | epoch   1 | time: 1032.09s | valid loss  1.35 | valid ppl     3.87 | learning rate 20.00
| end of split   5 /100 | epoch   1 | time: 1004.34s | valid loss  1.32 | valid ppl     3.74 | learning rate 20.00
| end of split   6 /100 | epoch   1 | time: 995.42s | valid loss  1.35 | valid ppl     3.85 | learning rate 20.00
| end of split   7 /100 | epoch   1 | time: 992.44s | valid loss  1.28 | valid ppl     3.59 | learning rate 20.00
| end of split   8 /100 | epoch   1 | time: 987.23s | valid loss  1.27 | valid ppl     3.55 | learning rate 20.00
| end of split   9 /100 | epoch   1 | time: 1006.95s | valid loss  1.26 | valid ppl     3.54 | learning rate 20.00
| end of split  10 /100 | epoch   1 | time: 987.17s | valid loss  1.24 | valid ppl     3.46 | learning rate 20.00
| end of split  11 /100 | epoch   1 | time: 1006.88s | valid loss  1.25 | valid ppl     3.51 | learning rate 20.00
| end of split  12 /100 | epoch   1 | time: 1006.75s | valid loss  1.23 | valid ppl     3.43 | learning rate 20.00
| end of split  13 /100 | epoch   1 | time: 1001.98s | valid loss  1.22 | valid ppl     3.40 | learning rate 20.00
| end of split  14 /100 | epoch   1 | time: 1009.32s | valid loss  1.22 | valid ppl     3.39 | learning rate 20.00
| end of split  15 /100 | epoch   1 | time: 1005.41s | valid loss  1.21 | valid ppl     3.37 | learning rate 20.00
| end of split  16 /100 | epoch   1 | time: 155.25s | valid loss  1.27 | valid ppl     3.55 | learning rate 20.00
| end of split  17 /100 | epoch   1 | time: 993.82s | valid loss  1.21 | valid ppl     3.35 | learning rate 20.00
| end of split  18 /100 | epoch   1 | time: 1003.44s | valid loss  1.22 | valid ppl     3.38 | learning rate 20.00
| end of split  19 /100 | epoch   1 | time: 1006.73s | valid loss  1.20 | valid ppl     3.31 | learning rate 20.00
| end of split  20 /100 | epoch   1 | time: 1002.70s | valid loss  1.19 | valid ppl     3.30 | learning rate 20.00
| end of split  21 /100 | epoch   1 | time: 986.09s | valid loss  1.20 | valid ppl     3.33 | learning rate 20.00
| end of split  22 /100 | epoch   1 | time: 1010.44s | valid loss  1.19 | valid ppl     3.28 | learning rate 20.00
| end of split  23 /100 | epoch   1 | time: 1016.23s | valid loss  1.19 | valid ppl     3.28 | learning rate 20.00
| end of split  24 /100 | epoch   1 | time: 1003.84s | valid loss  1.18 | valid ppl     3.26 | learning rate 20.00
| end of split  25 /100 | epoch   1 | time: 998.15s | valid loss  1.18 | valid ppl     3.25 | learning rate 20.00
| end of split  26 /100 | epoch   1 | time: 1000.23s | valid loss  1.19 | valid ppl     3.30 | learning rate 20.00
| end of split  27 /100 | epoch   1 | time: 1007.34s | valid loss  1.17 | valid ppl     3.23 | learning rate 20.00
| end of split  28 /100 | epoch   1 | time: 997.12s | valid loss  1.17 | valid ppl     3.23 | learning rate 20.00
| end of split  29 /100 | epoch   1 | time: 1006.24s | valid loss  1.18 | valid ppl     3.24 | learning rate 20.00
| end of split  30 /100 | epoch   1 | time: 1004.60s | valid loss  1.16 | valid ppl     3.20 | learning rate 20.00
| end of split  31 /100 | epoch   1 | time: 1004.65s | valid loss  1.17 | valid ppl     3.21 | learning rate 20.00
| end of split  32 /100 | epoch   1 | time: 1000.46s | valid loss  1.17 | valid ppl     3.21 | learning rate 20.00
| end of split  33 /100 | epoch   1 | time: 999.66s | valid loss  1.16 | valid ppl     3.19 | learning rate 20.00
| end of split  34 /100 | epoch   1 | time: 1003.15s | valid loss  1.17 | valid ppl     3.22 | learning rate 20.00
| end of split  35 /100 | epoch   1 | time: 995.93s | valid loss  1.18 | valid ppl     3.26 | learning rate 20.00
| end of split  36 /100 | epoch   1 | time: 993.04s | valid loss  1.16 | valid ppl     3.18 | learning rate 20.00
| end of split  37 /100 | epoch   1 | time: 1006.96s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  38 /100 | epoch   1 | time: 991.99s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  39 /100 | epoch   1 | time: 1020.96s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  40 /100 | epoch   1 | time: 1009.12s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  41 /100 | epoch   1 | time: 999.91s | valid loss  1.15 | valid ppl     3.16 | learning rate 20.00
| end of split  42 /100 | epoch   1 | time: 1013.55s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  43 /100 | epoch   1 | time: 1006.53s | valid loss  1.15 | valid ppl     3.15 | learning rate 20.00
| end of split  44 /100 | epoch   1 | time: 995.41s | valid loss  1.16 | valid ppl     3.18 | learning rate 20.00
| end of split  45 /100 | epoch   1 | time: 991.63s | valid loss  1.14 | valid ppl     3.13 | learning rate 20.00
| end of split  46 /100 | epoch   1 | time: 993.18s | valid loss  1.14 | valid ppl     3.13 | learning rate 20.00
| end of split  47 /100 | epoch   1 | time: 1000.18s | valid loss  1.16 | valid ppl     3.21 | learning rate 20.00
| end of split  48 /100 | epoch   1 | time: 996.43s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  49 /100 | epoch   1 | time: 1021.56s | valid loss  1.14 | valid ppl     3.13 | learning rate 20.00
| end of split  50 /100 | epoch   1 | time: 999.93s | valid loss  1.15 | valid ppl     3.14 | learning rate 20.00
| end of split  51 /100 | epoch   1 | time: 1002.41s | valid loss  1.15 | valid ppl     3.16 | learning rate 20.00
| end of split  52 /100 | epoch   1 | time: 1007.35s | valid loss  1.13 | valid ppl     3.11 | learning rate 20.00
| end of split  53 /100 | epoch   1 | time: 1002.24s | valid loss  1.13 | valid ppl     3.11 | learning rate 20.00
| end of split  54 /100 | epoch   1 | time: 1001.59s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  55 /100 | epoch   1 | time: 996.76s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  56 /100 | epoch   1 | time: 1017.94s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  57 /100 | epoch   1 | time: 993.35s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  58 /100 | epoch   1 | time: 986.96s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  59 /100 | epoch   1 | time: 1002.80s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  60 /100 | epoch   1 | time: 1005.27s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  61 /100 | epoch   1 | time: 1003.28s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  62 /100 | epoch   1 | time: 1004.66s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  63 /100 | epoch   1 | time: 1015.32s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  64 /100 | epoch   1 | time: 1006.60s | valid loss  1.13 | valid ppl     3.08 | learning rate 20.00
| end of split  65 /100 | epoch   1 | time: 1005.96s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  66 /100 | epoch   1 | time: 994.72s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  67 /100 | epoch   1 | time: 1007.16s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  68 /100 | epoch   1 | time: 1024.29s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  69 /100 | epoch   1 | time: 1007.83s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  70 /100 | epoch   1 | time: 986.10s | valid loss  1.14 | valid ppl     3.14 | learning rate 20.00
| end of split  71 /100 | epoch   1 | time: 993.06s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.00
| end of split  72 /100 | epoch   1 | time: 1003.68s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  73 /100 | epoch   1 | time: 997.02s | valid loss  1.15 | valid ppl     3.17 | learning rate 20.00
| end of split  74 /100 | epoch   1 | time: 1002.99s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  75 /100 | epoch   1 | time: 1005.24s | valid loss  1.14 | valid ppl     3.11 | learning rate 20.00
| end of split  76 /100 | epoch   1 | time: 996.44s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  77 /100 | epoch   1 | time: 1005.14s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.00
| end of split  78 /100 | epoch   1 | time: 987.49s | valid loss  1.12 | valid ppl     3.08 | learning rate 20.00
| end of split  79 /100 | epoch   1 | time: 1006.66s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  80 /100 | epoch   1 | time: 1002.46s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  81 /100 | epoch   1 | time: 1003.04s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  82 /100 | epoch   1 | time: 989.65s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  83 /100 | epoch   1 | time: 1026.96s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  84 /100 | epoch   1 | time: 987.51s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  85 /100 | epoch   1 | time: 1035.16s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  86 /100 | epoch   1 | time: 995.73s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.00
| end of split  87 /100 | epoch   1 | time: 996.51s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  88 /100 | epoch   1 | time: 1004.67s | valid loss  1.13 | valid ppl     3.10 | learning rate 20.00
| end of split  89 /100 | epoch   1 | time: 1004.55s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  90 /100 | epoch   1 | time: 998.83s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  91 /100 | epoch   1 | time: 994.13s | valid loss  1.14 | valid ppl     3.12 | learning rate 20.00
| end of split  92 /100 | epoch   1 | time: 993.64s | valid loss  1.11 | valid ppl     3.04 | learning rate 20.00
| end of split  93 /100 | epoch   1 | time: 1005.81s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  94 /100 | epoch   1 | time: 999.03s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  95 /100 | epoch   1 | time: 995.49s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.00
| end of split  96 /100 | epoch   1 | time: 991.30s | valid loss  1.11 | valid ppl     3.05 | learning rate 20.00
| end of split  97 /100 | epoch   1 | time: 1004.23s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
| end of split  98 /100 | epoch   1 | time: 1000.89s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split  99 /100 | epoch   1 | time: 1004.72s | valid loss  1.11 | valid ppl     3.02 | learning rate 20.00
| end of split 100 /100 | epoch   1 | time: 1016.61s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split   1 /100 | epoch   2 | time: 993.46s | valid loss  1.10 | valid ppl     3.02 | learning rate 20.00
| end of split   2 /100 | epoch   2 | time: 1001.53s | valid loss  1.11 | valid ppl     3.03 | learning rate 20.00
